Customer_ID,Age,Gender,Annual_Income,Total_Purchases,Average_Order_Value,Website_Visits,Customer_Satisfaction,Previous_Returns,Churn,Total_Spending,Income_Per_Purchase
46,31,Female,25626,37,489.18,24,1.5,8,1,18099.66,692.5945945945946
47,26,Female,27424,22,275.32,8,3.1,3,0,6057.04,1246.5454545454545
48,43,Male,32857,5,85.18,29,1.8,2,1,425.90000000000003,6571.4
49,19,Male,130459,2,67.67,7,1.4,3,1,135.34,65229.5
50,37,Male,135621,27,120.25,8,2.6,3,0,3246.75,5023.0
51,45,Male,39982,21,464.31,13,1.7,9,1,9750.51,1903.904761904762
52,64,Male,96961,38,218.79,6,1.9,1,1,8314.02,2551.6052631578946
53,24,Male,21980,15,209.81,18,2.3,0,1,3147.15,1465.3333333333333
54,61,Female,68290,21,170.34,2,2.0,9,1,3577.14,3251.904761904762
55,25,Female,46431,10,90.59,8,1.4,0,1,905.9000000000001,4643.1
56,64,Female,104976,23,254.17,11,1.4,7,1,5845.91,4564.173913043478
57,52,Female,127288,39,82.42,1,1.8,1,1,3214.38,3263.7948717948716
58,31,Male,102711,5,421.03,22,1.2,9,1,2105.1499999999996,20542.2
59,34,Male,134187,1,197.79,29,3.5,4,0,197.79,134187.0
60,53,Female,46385,13,199.91,6,2.1,3,1,2598.83,3568.076923076923
61,57,Male,58158,21,247.52,16,2.1,7,1,5197.92,2769.4285714285716
62,21,Female,43019,26,233.18,27,2.3,1,1,6062.68,1654.576923076923
63,19,Female,38639,45,497.53,20,3.7,9,1,22388.85,858.6444444444444
64,23,Female,105530,21,281.78,12,4.5,8,1,5917.379999999999,5025.238095238095
65,59,Male,119911,18,62.34,11,4.0,6,0,1122.1200000000001,6661.722222222223
66,21,Female,41563,37,311.3,29,3.9,6,0,11518.1,1123.3243243243244
67,46,Female,59341,45,92.76,27,2.9,0,0,4174.2,1318.6888888888889
68,35,Female,135672,32,34.85,29,3.8,1,0,1115.2,4239.75
69,43,Male,25776,36,485.96,10,3.2,3,0,17494.559999999998,716.0
70,61,Male,56444,17,391.3,3,1.9,3,1,6652.1,3320.235294117647
71,51,Female,88916,35,490.45,13,1.8,2,1,17165.75,2540.457142857143
72,27,Male,28711,49,249.38,27,2.2,6,1,12219.619999999999,585.9387755102041
73,53,Male,94318,11,275.48,3,4.6,7,1,3030.28,8574.363636363636
74,31,Male,102970,21,100.8,15,3.2,1,0,2116.7999999999997,4903.333333333333
75,48,Male,132301,26,138.52,16,3.9,3,0,3601.5200000000004,5088.5
76,32,Male,105553,4,422.5,29,2.4,2,1,1690.0,26388.25
77,25,Male,50707,34,190.97,13,2.6,1,0,6492.98,1491.3823529411766
78,31,Male,59110,48,416.87,17,1.5,5,1,20009.760000000002,1231.4583333333333
79,40,Male,149410,18,360.33,3,1.7,3,1,6485.94,8300.555555555555
80,57,Male,81788,40,105.04,20,4.3,5,0,4201.6,2044.7
81,38,Male,102879,35,263.57,11,3.3,1,0,9224.949999999999,2939.4
82,33,Female,58827,41,345.15,27,2.4,3,1,14151.15,1434.8048780487804
83,62,Female,127188,29,132.82,21,4.2,5,0,3851.7799999999997,4385.793103448276
84,35,Male,25655,29,418.73,19,2.0,4,1,12143.17,884.6551724137931
85,64,Female,64859,38,281.52,22,4.9,2,0,10697.759999999998,1706.8157894736842
86,41,Female,73625,42,99.32,11,2.4,7,1,4171.44,1752.9761904761904
87,43,Male,72098,21,299.83,28,2.3,6,1,6296.429999999999,3433.2380952380954
88,42,Male,35251,42,499.86,16,2.2,2,1,20994.12,839.3095238095239
89,62,Male,142413,13,92.25,21,1.5,5,1,1199.25,10954.846153846154
90,58,Female,20526,49,412.04,3,1.4,3,1,20189.960000000003,418.8979591836735
91,46,Female,88760,41,119.51,22,3.6,4,0,4899.91,2164.878048780488
92,32,Male,67837,17,395.55,6,4.5,4,1,6724.35,3990.4117647058824
93,62,Male,145133,9,372.6,14,4.2,6,0,3353.4,16125.888888888889
94,18,Male,149478,41,164.23,24,1.6,4,1,6733.429999999999,3645.8048780487807
95,42,Female,31536,1,176.4,18,3.2,2,0,176.4,31536.0
96,24,Female,48541,2,400.41,17,1.4,9,1,800.82,24270.5
97,26,Female,99083,48,241.49,4,1.2,4,1,11591.52,2064.2291666666665
98,41,Female,71027,29,370.79,23,3.6,6,0,10752.91,2449.206896551724
99,18,Male,54531,33,91.03,15,3.1,4,0,3003.9900000000002,1652.4545454545455
100,61,Male,28712,10,429.23,11,1.3,4,1,4292.3,2871.2
101,25,Male,124101,40,361.22,26,1.1,8,1,14448.800000000001,3102.525
102,41,Male,85455,21,455.33,3,5.0,2,1,9561.93,4069.285714285714
103,28,Female,94744,28,83.54,3,1.1,5,1,2339.1200000000003,3383.714285714286
104,34,Female,141787,11,304.65,16,2.8,0,0,3351.1499999999996,12889.727272727272
105,25,Male,149749,34,307.58,5,3.0,9,1,10457.72,4404.382352941177
106,52,Male,25109,8,189.66,21,1.5,4,1,1517.28,3138.625
107,52,Female,141332,22,240.06,29,1.7,7,1,5281.32,6424.181818181818
108,50,Male,69268,8,38.23,10,2.4,4,1,305.84,8658.5
109,22,Female,120737,49,378.01,19,4.0,8,1,18522.489999999998,2464.0204081632655
110,59,Male,74615,15,283.67,25,3.0,5,0,4255.05,4974.333333333333
111,56,Male,102503,17,47.72,4,3.6,7,1,811.24,6029.588235294118
112,58,Male,143274,23,346.76,29,4.9,9,1,7975.48,6229.304347826087
113,45,Male,49759,24,244.06,29,4.1,7,1,5857.4400000000005,2073.2916666666665
114,24,Male,105708,45,36.54,19,2.7,2,0,1644.3,2349.0666666666666
115,26,Male,80112,19,485.41,11,2.8,6,0,9222.79,4216.421052631579
116,25,Male,122471,5,475.57,2,3.5,6,1,2377.85,24494.2
117,29,Female,146740,32,266.19,10,3.7,9,1,8518.08,4585.625
118,51,Female,143153,44,64.96,29,3.0,5,0,2858.24,3253.4772727272725
119,50,Female,46589,1,382.22,11,3.6,6,0,382.22,46589.0
120,40,Female,50015,23,256.13,25,1.1,1,1,5890.99,2174.5652173913045
121,41,Female,49009,37,165.17,20,2.7,8,1,6111.29,1324.5675675675675
122,54,Male,103309,8,255.88,16,2.1,9,1,2047.04,12913.625
123,52,Male,146446,13,270.77,19,1.5,9,1,3520.0099999999998,11265.076923076924
124,61,Female,82046,8,290.1,23,1.4,0,1,2320.8,10255.75
125,57,Male,126661,23,231.79,24,3.4,0,0,5331.17,5507.0
126,39,Female,46143,43,310.76,11,3.1,2,0,13362.68,1073.093023255814
127,44,Female,26154,1,460.99,14,2.0,2,1,460.99,26154.0
128,52,Male,41804,45,193.89,2,2.9,0,1,8725.05,928.9777777777778
129,18,Male,61688,24,368.34,23,3.0,6,0,8840.16,2570.3333333333335
130,52,Male,84288,35,449.34,28,1.8,3,1,15726.9,2408.2285714285713
131,54,Female,71195,24,238.87,5,3.6,9,1,5732.88,2966.4583333333335
132,64,Male,40581,17,232.86,27,4.1,1,0,3958.6200000000003,2387.1176470588234
133,31,Female,72648,5,309.02,5,4.2,9,1,1545.1,14529.6
134,20,Female,50087,20,303.88,19,3.4,4,0,6077.6,2504.35
135,18,Female,69930,21,407.16,21,3.0,5,0,8550.36,3330.0
136,22,Male,52981,40,248.71,12,1.2,8,1,9948.4,1324.525
137,43,Male,89298,31,498.14,18,2.2,3,1,15442.34,2880.5806451612902
138,31,Female,66167,46,48.55,4,1.4,1,1,2233.2999999999997,1438.4130434782608
139,56,Male,95304,36,21.52,22,4.9,4,0,774.72,2647.3333333333335
140,44,Male,63408,11,327.3,17,1.5,2,1,3600.3,5764.363636363636
141,26,Male,59499,15,163.25,10,1.6,1,1,2448.75,3966.6
142,32,Female,145816,19,135.38,20,4.6,0,0,2572.22,7674.526315789473
143,32,Female,72269,7,169.71,6,4.8,9,1,1187.97,10324.142857142857
144,43,Male,58559,28,142.9,25,4.1,1,0,4001.2000000000003,2091.3928571428573
145,59,Female,134126,43,34.78,14,1.0,5,1,1495.54,3119.2093023255816
146,30,Male,94319,5,486.34,11,1.0,7,1,2431.7,18863.8
147,49,Male,131925,5,125.96,11,2.5,2,0,629.8,26385.0
148,56,Male,115317,30,372.33,29,1.6,8,1,11169.9,3843.9
149,49,Male,116347,32,386.05,18,1.1,8,1,12353.6,3635.84375
150,21,Female,68787,8,466.04,27,2.9,1,0,3728.32,8598.375
151,47,Female,55488,10,34.66,23,4.8,7,1,346.59999999999997,5548.8
152,54,Female,94441,38,438.58,22,2.3,9,1,16666.04,2485.2894736842104
153,40,Male,94663,47,273.07,18,3.6,4,0,12834.289999999999,2014.1063829787233
154,56,Male,42431,32,323.62,24,3.6,3,0,10355.84,1325.96875
155,62,Male,81681,48,329.35,23,2.0,9,1,15808.800000000001,1701.6875
156,32,Female,83483,28,413.5,11,3.6,4,0,11578.0,2981.535714285714
157,60,Male,142720,17,180.04,21,1.8,3,1,3060.68,8395.29411764706
158,46,Female,69153,31,371.86,12,1.5,7,1,11527.66,2230.7419354838707
159,53,Female,26368,8,273.72,5,3.8,3,1,2189.76,3296.0
160,30,Female,47424,40,400.83,23,1.5,9,1,16033.199999999999,1185.6
161,49,Female,132360,25,495.46,9,5.0,5,0,12386.5,5294.4
162,24,Female,65004,9,116.31,27,1.7,1,1,1046.79,7222.666666666667
163,39,Female,103869,2,497.43,25,3.4,4,0,994.86,51934.5
164,45,Male,108652,15,63.11,9,2.6,5,0,946.65,7243.466666666666
165,19,Male,132755,3,21.11,22,1.5,4,1,63.33,44251.666666666664
166,59,Female,76985,49,41.2,10,1.1,1,1,2018.8000000000002,1571.1224489795918
167,62,Female,70069,36,184.06,22,3.5,6,0,6626.16,1946.361111111111
168,23,Male,72326,4,323.8,19,4.2,3,0,1295.2,18081.5
169,45,Female,128737,14,53.13,1,4.4,7,1,743.82,9195.5
170,45,Female,101061,41,22.72,7,2.9,6,1,931.52,2464.9024390243903
171,61,Male,43398,41,469.8,4,4.1,6,1,19261.8,1058.4878048780488
172,61,Female,118393,25,414.52,1,3.7,8,1,10363.0,4735.72
173,37,Female,70861,10,408.41,15,3.9,0,0,4084.1000000000004,7086.1
174,47,Female,95897,21,444.52,8,3.0,9,1,9334.92,4566.523809523809
175,28,Male,101905,36,356.02,12,3.5,5,0,12816.72,2830.6944444444443
176,45,Male,147118,12,70.11,22,4.2,5,0,841.3199999999999,12259.833333333334
177,42,Male,88577,27,211.57,22,2.6,5,0,5712.389999999999,3280.6296296296296
178,56,Female,85641,40,367.11,18,4.2,5,0,14684.400000000001,2141.025
179,50,Female,29078,2,154.56,15,3.4,9,1,309.12,14539.0
180,18,Male,45003,13,349.96,17,1.7,6,1,4549.48,3461.769230769231
181,44,Female,82768,32,31.76,29,1.1,9,1,1016.32,2586.5
182,30,Female,71047,31,166.95,14,2.5,5,0,5175.45,2291.8387096774195
183,58,Female,91626,16,283.58,14,3.2,0,0,4537.28,5726.625
184,20,Female,77660,32,323.4,18,4.4,2,0,10348.8,2426.875
185,56,Female,124386,32,296.98,20,1.5,1,1,9503.36,3887.0625
186,23,Male,69786,34,354.92,18,4.2,5,0,12067.28,2052.529411764706
187,25,Female,21925,11,22.92,16,4.5,7,1,252.12,1993.1818181818182
188,44,Male,103976,10,68.45,1,1.6,2,1,684.5,10397.6
189,26,Female,125221,15,437.09,23,4.4,9,1,6556.349999999999,8348.066666666668
190,54,Male,137832,17,347.24,27,5.0,7,1,5903.08,8107.764705882353
191,50,Female,145150,40,74.21,11,3.9,7,1,2968.3999999999996,3628.75
192,59,Male,46015,18,424.2,15,4.1,4,0,7635.599999999999,2556.3888888888887
193,61,Female,53320,9,136.27,12,5.0,7,1,1226.43,5924.444444444444
194,41,Male,84881,25,249.56,8,3.4,5,0,6239.0,3395.24
195,32,Female,110827,40,89.69,22,2.2,4,1,3587.6,2770.675
196,49,Male,140071,14,360.85,20,4.4,8,1,5051.900000000001,10005.07142857143
197,49,Female,122215,25,340.09,6,3.5,6,1,8502.25,4888.6
198,41,Male,46289,22,121.33,3,3.3,7,1,2669.2599999999998,2104.0454545454545
199,58,Male,148859,30,434.43,28,2.0,0,1,13032.9,4961.966666666666
200,29,Female,23389,20,212.63,24,4.0,1,0,4252.6,1169.45
201,56,Female,45683,21,160.41,26,1.3,7,1,3368.61,2175.3809523809523
202,19,Male,33629,44,93.12,13,4.7,8,1,4097.280000000001,764.2954545454545
203,20,Female,81550,32,147.76,13,2.3,3,1,4728.32,2548.4375
204,54,Male,44826,46,30.57,2,1.5,9,1,1406.22,974.4782608695652
205,34,Male,120734,49,299.96,5,2.8,9,1,14698.039999999999,2463.9591836734694
206,19,Male,46630,21,424.27,17,1.2,8,1,8909.67,2220.4761904761904
207,19,Female,118762,35,283.51,6,3.7,3,1,9922.85,3393.2
208,45,Male,66163,32,125.25,2,4.6,9,1,4008.0,2067.59375
209,40,Male,118511,30,36.16,4,4.3,9,1,1084.8,3950.366666666667
210,54,Female,86435,39,123.02,22,1.5,9,1,4797.78,2216.2820512820513
211,49,Female,31653,49,219.74,26,1.5,8,1,10767.26,645.9795918367347
212,50,Female,47961,12,384.61,11,4.3,6,0,4615.32,3996.75
213,18,Female,101941,41,110.16,8,4.7,1,0,4516.5599999999995,2486.3658536585367
214,36,Male,94137,47,365.5,12,2.8,8,1,17178.5,2002.9148936170213
215,19,Male,53662,18,436.13,8,3.0,3,0,7850.34,2981.222222222222
216,61,Male,118818,21,237.89,11,2.3,7,1,4995.69,5658.0
217,43,Male,76446,13,414.29,22,4.6,6,0,5385.77,5880.461538461538
218,49,Female,41288,21,286.24,20,3.6,6,0,6011.04,1966.095238095238
219,23,Male,142555,8,325.8,8,2.2,7,1,2606.4,17819.375
220,49,Male,115081,46,272.61,29,2.2,0,1,12540.060000000001,2501.7608695652175
221,21,Female,56877,40,242.32,8,4.6,4,0,9692.8,1421.925
222,28,Male,131562,46,132.63,26,1.1,1,1,6100.98,2860.0434782608695
223,34,Male,35313,7,165.53,17,2.3,1,1,1158.71,5044.714285714285
224,55,Male,100885,23,159.19,20,3.2,0,0,3661.37,4386.304347826087
225,41,Male,92715,44,290.38,20,1.6,4,1,12776.72,2107.159090909091
226,22,Male,30326,32,77.58,23,1.4,1,1,2482.56,947.6875
227,51,Male,130091,11,460.06,16,4.3,3,0,5060.66,11826.454545454546
228,23,Female,145836,22,365.91,14,4.6,2,0,8050.02,6628.909090909091
229,39,Female,21560,22,212.69,11,4.3,2,0,4679.18,980.0
230,28,Male,99148,43,96.14,7,4.6,1,1,4134.02,2305.767441860465
231,33,Male,103186,25,443.36,16,3.2,5,0,11084.0,4127.44
232,50,Female,46745,22,415.41,13,4.2,1,0,9139.02,2124.7727272727275
233,26,Male,51890,28,366.43,27,2.5,7,1,10260.04,1853.2142857142858
234,23,Male,40022,29,150.34,15,3.7,7,1,4359.86,1380.0689655172414
235,33,Male,143629,13,213.17,24,5.0,4,0,2771.21,11048.384615384615
236,46,Female,72579,18,69.32,16,1.9,9,1,1247.7599999999998,4032.1666666666665
237,20,Male,90316,2,110.74,27,2.6,6,0,221.48,45158.0
238,37,Female,103847,29,395.85,21,2.9,3,0,11479.650000000001,3580.9310344827586
239,53,Male,48380,21,363.22,23,1.6,0,1,7627.620000000001,2303.809523809524
240,36,Female,130198,15,304.87,24,1.3,1,1,4573.05,8679.866666666667
241,43,Female,22356,27,449.95,9,4.3,9,1,12148.65,828.0
242,20,Male,90326,31,299.97,3,4.9,9,1,9299.070000000002,2913.7419354838707
243,36,Female,112447,15,244.14,19,2.6,3,0,3662.1,7496.466666666666
244,37,Male,134994,23,183.38,20,1.4,0,1,4217.74,5869.304347826087
245,49,Female,109899,24,471.42,5,1.3,7,1,11314.08,4579.125
246,24,Male,40049,44,59.7,10,4.6,8,1,2626.8,910.2045454545455
247,58,Male,95717,13,466.83,17,2.9,3,0,6068.79,7362.846153846154
248,50,Female,125361,22,416.82,15,2.3,9,1,9170.039999999999,5698.227272727273
249,57,Male,36082,43,82.37,23,2.9,2,0,3541.9100000000003,839.1162790697674
250,56,Male,20661,37,291.19,25,2.3,1,1,10774.03,558.4054054054054
251,35,Female,57412,33,435.94,8,3.0,4,0,14386.02,1739.7575757575758
252,57,Male,134015,3,294.47,15,4.4,2,0,883.4100000000001,44671.666666666664
253,18,Male,143191,19,455.46,21,3.4,9,1,8653.74,7536.368421052632
254,28,Female,22920,23,472.63,14,3.8,6,0,10870.49,996.5217391304348
255,45,Female,111194,29,222.74,20,2.5,5,0,6459.46,3834.2758620689656
256,42,Male,134306,30,201.11,28,4.0,0,0,6033.3,4476.866666666667
257,40,Male,80315,39,469.43,7,3.7,7,1,18307.77,2059.358974358974
258,48,Female,99561,44,344.07,21,1.5,1,1,15139.08,2262.75
259,47,Female,28946,47,75.69,23,3.3,4,0,3557.43,615.8723404255319
260,59,Male,114242,25,40.3,12,2.0,8,1,1007.4999999999999,4569.68
261,52,Female,65500,37,291.02,17,4.2,7,1,10767.74,1770.2702702702702
262,24,Male,124540,47,466.48,17,2.7,1,0,21924.56,2649.7872340425533
263,33,Male,36309,8,425.24,10,5.0,8,1,3401.92,4538.625
264,43,Male,75230,42,344.41,29,1.4,4,1,14465.220000000001,1791.1904761904761
265,19,Male,131822,16,86.78,19,4.1,9,1,1388.48,8238.875
266,18,Male,118656,8,142.03,14,3.7,5,0,1136.24,14832.0
267,29,Female,143782,1,440.25,11,4.1,2,0,440.25,143782.0
268,22,Female,50027,44,107.75,2,2.2,2,1,4741.0,1136.9772727272727
269,54,Female,146768,5,153.65,18,3.0,9,1,768.25,29353.6
270,49,Female,92541,3,82.21,7,4.2,7,1,246.63,30847.0
271,26,Male,132340,1,344.53,12,1.9,9,1,344.53,132340.0
272,58,Male,134846,4,473.11,26,1.9,9,1,1892.44,33711.5
273,52,Male,79321,40,149.1,2,3.2,1,1,5964.0,1983.025
274,36,Male,20956,35,248.2,27,3.1,1,0,8687.0,598.7428571428571
275,33,Female,120375,32,324.48,20,2.1,4,1,10383.36,3761.71875
276,20,Male,94131,42,499.74,18,2.2,5,1,20989.08,2241.214285714286
277,37,Male,67908,34,70.31,6,2.1,1,1,2390.54,1997.2941176470588
278,41,Female,98339,43,259.31,24,4.1,4,0,11150.33,2286.953488372093
279,50,Female,145659,25,204.86,10,3.6,6,0,5121.5,5826.36
280,41,Female,45963,10,435.59,20,4.3,9,1,4355.9,4596.3
281,28,Female,121757,21,248.46,15,4.9,9,1,5217.66,5797.952380952381
282,25,Male,59443,46,73.27,5,2.9,7,1,3370.4199999999996,1292.2391304347825
283,53,Male,119259,39,324.52,20,1.3,6,1,12656.279999999999,3057.923076923077
284,55,Female,59063,27,389.97,3,1.2,7,1,10529.19,2187.5185185185187
285,57,Male,134225,27,21.38,5,2.2,8,1,577.26,4971.2962962962965
286,37,Male,136400,2,432.3,25,4.7,4,0,864.6,68200.0
287,52,Male,100818,41,109.29,8,3.1,4,0,4480.89,2458.9756097560976
288,42,Female,24703,48,284.99,8,2.1,9,1,13679.52,514.6458333333334
289,52,Male,85128,13,219.58,8,2.6,3,0,2854.54,6548.307692307692
290,42,Female,92099,9,365.43,12,3.4,8,1,3288.87,10233.222222222223
291,46,Male,45849,36,198.16,24,3.6,4,0,7133.76,1273.5833333333333
292,35,Male,51860,22,437.49,23,1.6,1,1,9624.78,2357.2727272727275
293,63,Male,51585,42,370.64,8,4.9,9,1,15566.88,1228.2142857142858
294,35,Female,42015,26,330.9,11,3.2,7,1,8603.4,1615.9615384615386
295,19,Male,97539,12,402.2,14,1.5,6,1,4826.4,8128.25
296,52,Female,63585,17,381.93,8,4.6,7,1,6492.81,3740.294117647059
297,33,Female,46958,14,37.25,29,1.3,2,1,521.5,3354.1428571428573
298,58,Female,46017,14,209.47,24,4.6,3,0,2932.58,3286.9285714285716
299,53,Male,96707,34,466.79,28,5.0,4,0,15870.86,2844.323529411765
300,50,Male,144677,20,80.35,10,3.8,5,0,1607.0,7233.85
301,21,Male,65350,11,373.81,7,4.1,0,1,4111.91,5940.909090909091
302,50,Male,32201,16,487.8,28,2.3,3,1,7804.8,2012.5625
303,31,Female,49426,31,45.06,17,4.8,9,1,1396.8600000000001,1594.3870967741937
304,38,Female,37778,6,347.45,4,3.1,4,1,2084.7,6296.333333333333
305,37,Female,65241,19,244.71,29,3.9,6,0,4649.49,3433.7368421052633
306,25,Male,62229,37,298.0,13,4.7,4,0,11026.0,1681.8648648648648
307,24,Female,106652,4,60.96,4,4.9,0,1,243.84,26663.0
308,20,Male,148267,47,40.64,5,4.3,6,1,1910.08,3154.6170212765956
309,34,Female,138402,4,340.1,26,2.2,7,1,1360.4,34600.5
310,50,Male,68364,20,415.19,22,4.9,6,0,8303.8,3418.2
311,29,Male,118833,10,395.37,4,3.5,3,1,3953.7,11883.3
312,39,Female,146503,24,281.03,18,4.7,7,1,6744.719999999999,6104.291666666667
313,39,Female,149044,35,67.94,6,3.7,4,1,2377.9,4258.4
314,63,Female,104878,26,350.26,24,2.2,9,1,9106.76,4033.769230769231
315,47,Female,77056,37,136.11,24,2.5,8,1,5036.070000000001,2082.5945945945946
316,55,Male,47490,38,457.31,23,3.2,9,1,17377.78,1249.7368421052631
317,55,Female,147769,21,422.37,22,4.2,4,0,8869.77,7036.619047619048
318,62,Female,39975,40,360.5,2,2.3,0,1,14420.0,999.375
319,25,Female,46723,39,475.45,23,3.3,8,1,18542.55,1198.025641025641
320,44,Male,43279,21,35.08,11,2.4,4,1,736.68,2060.904761904762
321,44,Male,98301,10,373.38,28,4.3,5,0,3733.8,9830.1
322,51,Female,132214,38,178.52,14,2.9,3,0,6783.76,3479.315789473684
323,38,Male,31561,46,454.91,5,1.3,5,1,20925.86,686.1086956521739
324,47,Female,127435,4,148.0,6,1.7,7,1,592.0,31858.75
325,50,Male,86061,45,367.93,10,1.2,2,1,16556.85,1912.4666666666667
326,45,Male,108397,20,441.27,8,3.0,4,0,8825.4,5419.85
327,64,Male,69153,17,40.0,14,1.4,1,1,680.0,4067.823529411765
328,50,Male,53142,7,210.87,24,1.5,1,1,1476.0900000000001,7591.714285714285
329,22,Female,46916,4,385.91,3,4.8,6,1,1543.64,11729.0
330,36,Female,84324,29,238.36,12,4.5,9,1,6912.4400000000005,2907.7241379310344
331,21,Female,64965,14,148.28,16,2.8,9,1,2075.92,4640.357142857143
332,52,Male,145932,3,125.51,28,4.9,9,1,376.53000000000003,48644.0
333,34,Female,24648,24,83.13,23,1.0,5,1,1995.12,1027.0
334,61,Female,55133,37,431.42,17,3.5,3,0,15962.54,1490.081081081081
335,45,Female,70677,16,296.17,1,3.5,4,1,4738.72,4417.3125
336,47,Male,116059,4,56.66,23,2.8,0,0,226.64,29014.75
337,46,Male,114588,24,203.64,10,2.6,6,0,4887.36,4774.5
338,63,Male,119950,34,196.51,25,2.8,7,1,6681.34,3527.9411764705883
339,23,Female,118317,30,107.23,23,2.7,8,1,3216.9,3943.9
340,52,Female,90135,18,229.04,10,3.9,7,1,4122.72,5007.5
341,58,Female,55046,19,179.41,21,1.5,4,1,3408.79,2897.157894736842
342,54,Male,67064,31,184.07,24,1.8,2,1,5706.17,2163.3548387096776
343,41,Male,121459,19,374.73,2,1.7,9,1,7119.870000000001,6392.578947368421
344,46,Female,126625,49,127.17,9,2.0,8,1,6231.33,2584.183673469388
345,63,Male,89350,46,328.09,22,3.1,5,0,15092.14,1942.391304347826
346,48,Male,65893,19,293.91,13,1.4,4,1,5584.290000000001,3468.0526315789475
347,52,Male,121520,22,292.68,25,4.5,2,0,6438.96,5523.636363636364
348,50,Male,145818,24,338.24,16,2.2,5,1,8117.76,6075.75
349,38,Female,81272,45,283.22,18,1.7,2,1,12744.900000000001,1806.0444444444445
350,49,Male,112152,12,442.04,19,3.7,9,1,5304.4800000000005,9346.0
351,40,Male,142907,30,344.28,12,1.2,5,1,10328.4,4763.566666666667
352,50,Male,87649,38,282.54,8,3.5,3,0,10736.52,2306.5526315789475
353,20,Male,84674,31,418.29,17,3.8,1,0,12966.99,2731.4193548387098
354,35,Female,144132,36,310.95,15,1.9,7,1,11194.199999999999,4003.6666666666665
