Customer_ID,Age,Gender,Annual_Income,Total_Purchases,Average_Order_Value,Website_Visits,Customer_Satisfaction,Previous_Returns,Churn
145,59,Female,134126,43,34.78,14,1.0,5,1
146,30,Male,94319,5,486.34,11,1.0,7,1
147,49,Male,131925,5,125.96,11,2.5,2,0
148,56,Male,115317,30,372.33,29,1.6,8,1
149,49,Male,116347,32,386.05,18,1.1,8,1
150,21,Female,68787,8,466.04,27,2.9,1,0
151,47,Female,55488,10,34.66,23,4.8,7,1
152,54,Female,94441,38,438.58,22,2.3,9,1
153,40,Male,94663,47,273.07,18,3.6,4,0
154,56,Male,42431,32,323.62,24,3.6,3,0
155,62,Male,81681,48,329.35,23,2.0,9,1
156,32,Female,83483,28,413.5,11,3.6,4,0
157,60,Male,142720,17,180.04,21,1.8,3,1
158,46,Female,69153,31,371.86,12,1.5,7,1
159,53,Female,26368,8,273.72,5,3.8,3,1
160,30,Female,47424,40,400.83,23,1.5,9,1
161,49,Female,132360,25,495.46,9,5.0,5,0
162,24,Female,65004,9,116.31,27,1.7,1,1
163,39,Female,103869,2,497.43,25,3.4,4,0
164,45,Male,108652,15,63.11,9,2.6,5,0
165,19,Male,132755,3,21.11,22,1.5,4,1
166,59,Female,76985,49,41.2,10,1.1,1,1
167,62,Female,70069,36,184.06,22,3.5,6,0
168,23,Male,72326,4,323.8,19,4.2,3,0
169,45,Female,128737,14,53.13,1,4.4,7,1
170,45,Female,101061,41,22.72,7,2.9,6,1
171,61,Male,43398,41,469.8,4,4.1,6,1
172,61,Female,118393,25,414.52,1,3.7,8,1
173,37,Female,70861,10,408.41,15,3.9,0,0
174,47,Female,95897,21,444.52,8,3.0,9,1
175,28,Male,101905,36,356.02,12,3.5,5,0
176,45,Male,147118,12,70.11,22,4.2,5,0
177,42,Male,88577,27,211.57,22,2.6,5,0
178,56,Female,85641,40,367.11,18,4.2,5,0
179,50,Female,29078,2,154.56,15,3.4,9,1
180,18,Male,45003,13,349.96,17,1.7,6,1
181,44,Female,82768,32,31.76,29,1.1,9,1
182,30,Female,71047,31,166.95,14,2.5,5,0
183,58,Female,91626,16,283.58,14,3.2,0,0
184,20,Female,77660,32,323.4,18,4.4,2,0
185,56,Female,124386,32,296.98,20,1.5,1,1
186,23,Male,69786,34,354.92,18,4.2,5,0
187,25,Female,21925,11,22.92,16,4.5,7,1
188,44,Male,103976,10,68.45,1,1.6,2,1
189,26,Female,125221,15,437.09,23,4.4,9,1
190,54,Male,137832,17,347.24,27,5.0,7,1
191,50,Female,145150,40,74.21,11,3.9,7,1
192,59,Male,46015,18,424.2,15,4.1,4,0
193,61,Female,53320,9,136.27,12,5.0,7,1
194,41,Male,84881,25,249.56,8,3.4,5,0
195,32,Female,110827,40,89.69,22,2.2,4,1
196,49,Male,140071,14,360.85,20,4.4,8,1
197,49,Female,122215,25,340.09,6,3.5,6,1
198,41,Male,46289,22,121.33,3,3.3,7,1
199,58,Male,148859,30,434.43,28,2.0,0,1
200,29,Female,23389,20,212.63,24,4.0,1,0
201,56,Female,45683,21,160.41,26,1.3,7,1
202,19,Male,33629,44,93.12,13,4.7,8,1
203,20,Female,81550,32,147.76,13,2.3,3,1
204,54,Male,44826,46,30.57,2,1.5,9,1
205,34,Male,120734,49,299.96,5,2.8,9,1
206,19,Male,46630,21,424.27,17,1.2,8,1
207,19,Female,118762,35,283.51,6,3.7,3,1
208,45,Male,66163,32,125.25,2,4.6,9,1
209,40,Male,118511,30,36.16,4,4.3,9,1
210,54,Female,86435,39,123.02,22,1.5,9,1
211,49,Female,31653,49,219.74,26,1.5,8,1
212,50,Female,47961,12,384.61,11,4.3,6,0
213,18,Female,101941,41,110.16,8,4.7,1,0
214,36,Male,94137,47,365.5,12,2.8,8,1
215,19,Male,53662,18,436.13,8,3.0,3,0
216,61,Male,118818,21,237.89,11,2.3,7,1
217,43,Male,76446,13,414.29,22,4.6,6,0
218,49,Female,41288,21,286.24,20,3.6,6,0
219,23,Male,142555,8,325.8,8,2.2,7,1
220,49,Male,115081,46,272.61,29,2.2,0,1
221,21,Female,56877,40,242.32,8,4.6,4,0
222,28,Male,131562,46,132.63,26,1.1,1,1
223,34,Male,35313,7,165.53,17,2.3,1,1
224,55,Male,100885,23,159.19,20,3.2,0,0
225,41,Male,92715,44,290.38,20,1.6,4,1
226,22,Male,30326,32,77.58,23,1.4,1,1
227,51,Male,130091,11,460.06,16,4.3,3,0
228,23,Female,145836,22,365.91,14,4.6,2,0
229,39,Female,21560,22,212.69,11,4.3,2,0
230,28,Male,99148,43,96.14,7,4.6,1,1
231,33,Male,103186,25,443.36,16,3.2,5,0
232,50,Female,46745,22,415.41,13,4.2,1,0
233,26,Male,51890,28,366.43,27,2.5,7,1
234,23,Male,40022,29,150.34,15,3.7,7,1
235,33,Male,143629,13,213.17,24,5.0,4,0
236,46,Female,72579,18,69.32,16,1.9,9,1
237,20,Male,90316,2,110.74,27,2.6,6,0
238,37,Female,103847,29,395.85,21,2.9,3,0
239,53,Male,48380,21,363.22,23,1.6,0,1
240,36,Female,130198,15,304.87,24,1.3,1,1
241,43,Female,22356,27,449.95,9,4.3,9,1
242,20,Male,90326,31,299.97,3,4.9,9,1
243,36,Female,112447,15,244.14,19,2.6,3,0
244,37,Male,134994,23,183.38,20,1.4,0,1
245,49,Female,109899,24,471.42,5,1.3,7,1
246,24,Male,40049,44,59.7,10,4.6,8,1
247,58,Male,95717,13,466.83,17,2.9,3,0
248,50,Female,125361,22,416.82,15,2.3,9,1
249,57,Male,36082,43,82.37,23,2.9,2,0
250,56,Male,20661,37,291.19,25,2.3,1,1
251,35,Female,57412,33,435.94,8,3.0,4,0
252,57,Male,134015,3,294.47,15,4.4,2,0
253,18,Male,143191,19,455.46,21,3.4,9,1
254,28,Female,22920,23,472.63,14,3.8,6,0
255,45,Female,111194,29,222.74,20,2.5,5,0
256,42,Male,134306,30,201.11,28,4.0,0,0
257,40,Male,80315,39,469.43,7,3.7,7,1
258,48,Female,99561,44,344.07,21,1.5,1,1
259,47,Female,28946,47,75.69,23,3.3,4,0
260,59,Male,114242,25,40.3,12,2.0,8,1
261,52,Female,65500,37,291.02,17,4.2,7,1
262,24,Male,124540,47,466.48,17,2.7,1,0
263,33,Male,36309,8,425.24,10,5.0,8,1
264,43,Male,75230,42,344.41,29,1.4,4,1
265,19,Male,131822,16,86.78,19,4.1,9,1
266,18,Male,118656,8,142.03,14,3.7,5,0
267,29,Female,143782,1,440.25,11,4.1,2,0
268,22,Female,50027,44,107.75,2,2.2,2,1
269,54,Female,146768,5,153.65,18,3.0,9,1
270,49,Female,92541,3,82.21,7,4.2,7,1
271,26,Male,132340,1,344.53,12,1.9,9,1
272,58,Male,134846,4,473.11,26,1.9,9,1
273,52,Male,79321,40,149.1,2,3.2,1,1
274,36,Male,20956,35,248.2,27,3.1,1,0
275,33,Female,120375,32,324.48,20,2.1,4,1
276,20,Male,94131,42,499.74,18,2.2,5,1
277,37,Male,67908,34,70.31,6,2.1,1,1
278,41,Female,98339,43,259.31,24,4.1,4,0
279,50,Female,145659,25,204.86,10,3.6,6,0
280,41,Female,45963,10,435.59,20,4.3,9,1
281,28,Female,121757,21,248.46,15,4.9,9,1
282,25,Male,59443,46,73.27,5,2.9,7,1
283,53,Male,119259,39,324.52,20,1.3,6,1
284,55,Female,59063,27,389.97,3,1.2,7,1
285,57,Male,134225,27,21.38,5,2.2,8,1
286,37,Male,136400,2,432.3,25,4.7,4,0
287,52,Male,100818,41,109.29,8,3.1,4,0
288,42,Female,24703,48,284.99,8,2.1,9,1
289,52,Male,85128,13,219.58,8,2.6,3,0
290,42,Female,92099,9,365.43,12,3.4,8,1
291,46,Male,45849,36,198.16,24,3.6,4,0
292,35,Male,51860,22,437.49,23,1.6,1,1
293,63,Male,51585,42,370.64,8,4.9,9,1
294,35,Female,42015,26,330.9,11,3.2,7,1
295,19,Male,97539,12,402.2,14,1.5,6,1
296,52,Female,63585,17,381.93,8,4.6,7,1
297,33,Female,46958,14,37.25,29,1.3,2,1
298,58,Female,46017,14,209.47,24,4.6,3,0
299,53,Male,96707,34,466.79,28,5.0,4,0
300,50,Male,144677,20,80.35,10,3.8,5,0
301,21,Male,65350,11,373.81,7,4.1,0,1
302,50,Male,32201,16,487.8,28,2.3,3,1
303,31,Female,49426,31,45.06,17,4.8,9,1
304,38,Female,37778,6,347.45,4,3.1,4,1
305,37,Female,65241,19,244.71,29,3.9,6,0
306,25,Male,62229,37,298.0,13,4.7,4,0
307,24,Female,106652,4,60.96,4,4.9,0,1
308,20,Male,148267,47,40.64,5,4.3,6,1
309,34,Female,138402,4,340.1,26,2.2,7,1
310,50,Male,68364,20,415.19,22,4.9,6,0
311,29,Male,118833,10,395.37,4,3.5,3,1
312,39,Female,146503,24,281.03,18,4.7,7,1
313,39,Female,149044,35,67.94,6,3.7,4,1
314,63,Female,104878,26,350.26,24,2.2,9,1
315,47,Female,77056,37,136.11,24,2.5,8,1
316,55,Male,47490,38,457.31,23,3.2,9,1
317,55,Female,147769,21,422.37,22,4.2,4,0
318,62,Female,39975,40,360.5,2,2.3,0,1
319,25,Female,46723,39,475.45,23,3.3,8,1
320,44,Male,43279,21,35.08,11,2.4,4,1
321,44,Male,98301,10,373.38,28,4.3,5,0
322,51,Female,132214,38,178.52,14,2.9,3,0
323,38,Male,31561,46,454.91,5,1.3,5,1
324,47,Female,127435,4,148.0,6,1.7,7,1
325,50,Male,86061,45,367.93,10,1.2,2,1
326,45,Male,108397,20,441.27,8,3.0,4,0
327,64,Male,69153,17,40.0,14,1.4,1,1
328,50,Male,53142,7,210.87,24,1.5,1,1
329,22,Female,46916,4,385.91,3,4.8,6,1
330,36,Female,84324,29,238.36,12,4.5,9,1
331,21,Female,64965,14,148.28,16,2.8,9,1
332,52,Male,145932,3,125.51,28,4.9,9,1
333,34,Female,24648,24,83.13,23,1.0,5,1
334,61,Female,55133,37,431.42,17,3.5,3,0
335,45,Female,70677,16,296.17,1,3.5,4,1
336,47,Male,116059,4,56.66,23,2.8,0,0
337,46,Male,114588,24,203.64,10,2.6,6,0
338,63,Male,119950,34,196.51,25,2.8,7,1
339,23,Female,118317,30,107.23,23,2.7,8,1
340,52,Female,90135,18,229.04,10,3.9,7,1
341,58,Female,55046,19,179.41,21,1.5,4,1
342,54,Male,67064,31,184.07,24,1.8,2,1
343,41,Male,121459,19,374.73,2,1.7,9,1
344,46,Female,126625,49,127.17,9,2.0,8,1
345,63,Male,89350,46,328.09,22,3.1,5,0
346,48,Male,65893,19,293.91,13,1.4,4,1
347,52,Male,121520,22,292.68,25,4.5,2,0
348,50,Male,145818,24,338.24,16,2.2,5,1
349,38,Female,81272,45,283.22,18,1.7,2,1
350,49,Male,112152,12,442.04,19,3.7,9,1
351,40,Male,142907,30,344.28,12,1.2,5,1
352,50,Male,87649,38,282.54,8,3.5,3,0
353,20,Male,84674,31,418.29,17,3.8,1,0
354,35,Female,144132,36,310.95,15,1.9,7,1
355,42,Female,139044,19,159.75,10,1.2,3,1
356,59,Male,128542,48,119.41,15,2.5,8,1
357,48,Male,33760,45,93.12,15,1.4,6,1
358,20,Male,41927,36,451.74,23,1.5,1,1
359,57,Male,106475,30,360.87,7,2.0,3,1
360,63,Male,81367,49,469.94,13,2.2,4,1
361,41,Male,117955,33,309.58,17,3.1,2,0
362,49,Female,32588,18,247.23,9,3.7,8,1
363,64,Male,141750,49,48.66,8,3.4,4,0
364,39,Female,121678,28,342.39,20,1.6,1,1
365,40,Female,124734,47,299.46,26,1.7,2,1
366,19,Male,138154,11,495.3,27,4.5,8,1
367,44,Female,72233,45,134.8,21,3.2,6,0
368,59,Female,64738,33,274.75,18,4.5,1,0
369,19,Female,53397,17,332.46,13,2.5,8,1
370,43,Female,102189,6,329.4,16,3.5,3,0
371,34,Female,96367,4,289.42,9,3.1,8,1
372,57,Female,144873,20,392.93,12,2.3,1,1
373,50,Male,91260,48,118.39,12,2.9,9,1
374,26,Female,140585,47,368.3,6,3.0,3,1
375,60,Female,96619,27,317.47,19,1.8,4,1
376,56,Female,131453,15,450.12,28,2.3,1,1
377,46,Male,39816,6,426.65,7,4.2,9,1
378,59,Female,62240,47,171.27,25,4.7,0,0
379,43,Male,26276,14,152.59,3,2.4,6,1
380,52,Female,133939,11,491.19,16,2.2,9,1
381,42,Male,124199,39,273.09,18,1.8,0,1
382,41,Male,99530,9,455.08,16,3.7,7,1
383,30,Female,43499,26,98.66,23,2.3,2,1
384,24,Female,108576,16,328.55,7,5.0,9,1
385,53,Male,128856,5,408.73,4,2.3,5,1
386,62,Female,102495,10,474.75,27,2.6,6,0
387,37,Male,141717,3,181.92,25,3.4,9,1
388,18,Male,91635,13,367.99,8,4.2,0,0
389,25,Male,127803,43,278.63,13,2.9,5,0
390,63,Male,105112,49,49.1,13,2.7,6,0
391,33,Male,55946,30,351.2,17,5.0,5,0
392,31,Female,75204,45,351.25,17,1.0,3,1
393,29,Male,71886,6,466.69,5,4.6,0,1
394,40,Male,91652,17,258.71,6,1.6,8,1
395,32,Female,35563,45,130.52,19,4.1,3,0
396,45,Male,112324,19,41.39,13,3.5,6,0
397,51,Female,112464,42,219.51,25,2.4,6,1
398,19,Female,121872,35,164.92,28,4.5,1,0
399,49,Female,29847,46,385.32,26,1.1,0,1
400,40,Male,46155,26,190.05,14,1.9,7,1
401,39,Male,99671,5,475.55,22,3.3,7,1
402,42,Male,136891,29,481.91,4,2.4,6,1
403,39,Female,103310,37,318.04,28,3.4,7,1
404,39,Male,87278,20,465.76,7,1.1,2,1
405,59,Female,38309,49,385.21,8,1.5,1,1
406,23,Male,20619,21,282.49,25,1.5,6,1
407,32,Female,103194,10,106.55,13,1.8,7,1
408,60,Male,70108,5,240.13,27,2.8,0,0
409,54,Male,54707,36,289.22,6,4.0,9,1
410,50,Male,40337,6,434.7,6,4.6,8,1
411,25,Female,145261,26,251.04,24,4.3,3,0
412,61,Female,101537,4,450.88,28,1.8,3,1
413,61,Male,86504,39,343.69,21,2.8,2,0
414,22,Male,67614,39,85.76,3,1.8,5,1
415,56,Female,111428,35,497.59,28,2.1,0,1
416,21,Female,111155,1,273.07,3,3.0,5,1
417,23,Female,20281,24,208.09,13,1.3,1,1
418,62,Male,47420,36,336.37,22,1.9,8,1
419,49,Female,100896,6,72.27,2,4.7,1,1
420,47,Male,59030,41,325.54,16,2.9,6,0
421,64,Female,21058,46,259.15,22,2.8,0,0
422,52,Male,106213,44,215.2,29,1.1,6,1
423,57,Female,96260,31,477.45,6,2.0,4,1
424,33,Female,48404,20,270.82,8,4.5,7,1
425,30,Female,123482,24,125.18,23,1.7,3,1
426,59,Female,125284,25,240.3,8,2.7,9,1
427,47,Female,49856,36,461.31,25,1.1,6,1
428,36,Male,29200,21,104.53,6,2.9,5,1
429,34,Female,84178,30,122.7,14,1.1,4,1
430,36,Female,53997,24,26.25,3,4.3,3,1
431,45,Female,45611,44,26.81,10,4.3,6,0
432,43,Male,139273,42,418.11,3,4.2,4,1
433,54,Female,61235,30,371.42,27,2.1,4,1
434,43,Male,137428,22,190.42,12,4.3,0,0
435,40,Female,55057,28,355.19,17,3.2,1,0
436,26,Female,21239,7,209.7,27,2.5,4,0
437,29,Male,123674,35,477.39,29,3.5,2,0
438,18,Female,134474,28,484.19,5,1.0,1,1
439,18,Male,85661,14,208.54,20,1.6,3,1
440,64,Male,146945,10,430.03,25,4.0,3,0
441,51,Female,65272,16,391.08,9,2.0,3,1
442,49,Male,109393,16,168.8,21,3.4,3,0
443,42,Female,81212,31,131.38,26,2.5,2,0
444,57,Female,144088,42,239.95,20,4.4,6,0
445,62,Male,35398,25,395.05,7,4.8,8,1
446,18,Male,140030,13,480.88,22,4.5,4,0
447,33,Male,76503,6,386.52,4,2.1,3,1
448,56,Male,26638,44,430.5,13,1.8,1,1
449,22,Female,26570,9,309.47,13,2.9,1,0
450,39,Female,88785,45,421.0,10,1.0,4,1
451,46,Male,29110,36,396.52,18,1.1,6,1
452,20,Female,125899,43,200.95,17,3.2,9,1
453,29,Female,99141,20,284.96,20,3.1,9,1
454,43,Female,32115,18,406.28,20,5.0,8,1
455,33,Female,59062,43,42.11,13,1.8,6,1
456,54,Male,42911,21,407.88,17,2.0,4,1
457,39,Male,124061,4,105.39,22,1.5,9,1
458,46,Female,52556,33,267.05,4,4.7,9,1
459,31,Male,98131,27,407.97,1,4.1,9,1
460,45,Male,148335,7,141.83,1,4.3,5,1
461,22,Male,21969,6,137.99,15,4.6,2,0
462,64,Female,63753,15,213.33,13,3.1,4,0
463,47,Female,102811,18,449.43,17,2.8,7,1
464,63,Female,24470,32,20.21,24,2.3,0,1
465,22,Male,141863,11,452.66,26,3.4,0,0
466,29,Female,30225,20,93.83,8,2.8,6,0
467,33,Female,127860,24,495.24,18,2.8,4,0
468,43,Male,143008,15,478.33,27,4.7,4,0
469,43,Female,127510,48,257.44,13,4.9,0,0
470,38,Female,128295,7,266.11,23,4.2,8,1
471,56,Male,43196,21,251.14,14,4.0,0,0
472,53,Male,125823,42,325.01,8,3.7,4,0
473,50,Male,33669,26,63.55,8,1.7,9,1
474,47,Female,57380,44,35.66,27,1.2,8,1
475,54,Female,144398,14,47.7,26,3.8,3,0
476,40,Female,130677,37,233.3,15,3.9,7,1
477,27,Male,135886,21,152.26,27,1.2,5,1
478,22,Male,146753,18,318.58,13,4.7,2,0
479,53,Female,68320,5,496.37,7,1.4,3,1
480,51,Female,67414,3,205.44,5,2.1,1,1
481,48,Male,123542,23,295.44,17,3.7,0,0
482,27,Male,35577,26,219.49,28,1.7,7,1
483,36,Male,145354,37,426.69,25,1.2,0,1
484,49,Male,108009,24,453.07,29,2.3,0,1
485,18,Female,146365,49,441.13,16,4.1,3,0
486,22,Male,75409,19,487.7,23,2.7,9,1
487,62,Female,48625,25,33.21,2,3.6,9,1
488,21,Female,101040,21,423.11,22,3.3,5,0
489,33,Female,44089,12,380.85,18,1.1,8,1
490,41,Male,56487,41,129.77,17,5.0,0,0
491,33,Male,85838,33,479.03,7,1.2,6,1
492,19,Male,116999,4,91.13,13,4.9,9,1
493,45,Male,130448,42,346.18,18,3.2,4,0
494,49,Female,114795,7,127.95,29,4.9,7,1
495,44,Male,70138,22,227.06,14,1.5,6,1
496,37,Male,62823,33,365.2,18,3.0,3,0
497,41,Female,57208,17,290.4,13,1.7,3,1
498,29,Male,74061,24,225.2,11,1.2,5,1
499,52,Female,50659,34,176.64,21,3.5,5,0
500,50,Female,149824,28,423.04,21,1.8,8,1
501,50,Female,121376,43,89.03,16,3.4,4,0
502,60,Female,51890,41,226.45,23,1.4,7,1
503,54,Female,99134,39,453.8,17,2.3,4,1
504,29,Female,67055,22,426.01,8,4.1,1,0
505,20,Female,132269,49,212.45,19,2.7,5,0
506,18,Female,39508,17,386.29,20,3.5,8,1
507,50,Male,62287,34,415.12,15,3.6,2,0
508,57,Male,98916,6,446.67,9,4.4,0,0
509,27,Male,46984,46,281.36,20,2.3,0,1
510,60,Male,130169,6,118.14,10,3.7,2,0
511,61,Female,28125,34,142.55,12,4.8,9,1
512,46,Male,56059,1,161.93,21,3.9,4,0
513,30,Female,89569,10,305.03,23,3.0,2,0
514,29,Male,123409,21,35.75,20,3.5,8,1
515,48,Male,37087,5,325.3,1,4.0,7,1
516,63,Male,126437,2,194.89,25,3.4,2,0
517,19,Female,135262,22,161.72,20,1.1,8,1
518,52,Male,25704,48,442.16,9,1.8,5,1
519,40,Female,80576,2,240.8,22,4.2,6,0
520,34,Female,93384,10,65.63,15,2.1,3,1
521,43,Male,107128,34,416.84,1,3.9,3,1
522,25,Male,131279,16,42.87,12,2.5,1,0
523,46,Male,92460,48,368.84,3,3.1,4,1
524,43,Female,47208,39,391.47,11,1.3,7,1
525,27,Male,138516,22,189.25,2,1.7,6,1
526,43,Female,149612,12,415.9,16,4.8,6,0
527,51,Female,105150,24,267.52,9,4.6,5,0
528,58,Male,86024,47,242.38,15,3.6,2,0
529,24,Male,59882,40,41.79,12,2.8,4,0
530,21,Female,45923,38,159.21,1,3.7,0,1
531,62,Female,146561,10,466.88,13,3.5,6,0
532,28,Female,134044,35,208.08,14,3.3,8,1
533,46,Male,121477,49,282.42,25,1.2,0,1
